parameter_name,value,unit,description
VE_to_V1,800.0,GDD,Emergence to first leaf (adjusted for 34-35 day maturity)
V1_to_V2,500.0,GDD,First to second leaf (adjusted for 34-35 day maturity)
V2_to_V3,500.0,GDD,Second to third leaf (adjusted for 34-35 day maturity)
V3_to_V4,500.0,GDD,Third to fourth leaf (adjusted for 34-35 day maturity)
V4_to_V5,500.0,GDD,Fourth to fifth leaf (adjusted for 34-35 day maturity)
V5_to_V6,500.0,GDD,Fifth to sixth leaf (adjusted for 34-35 day maturity)
V6_to_V7,500.0,GDD,Sixth to seventh leaf (adjusted for 34-35 day maturity)
V7_to_V8,500.0,GDD,Seventh to eighth leaf (adjusted for 34-35 day maturity)
V8_to_V9,500.0,GDD,Eighth to ninth leaf (adjusted for 34-35 day maturity)
V9_to_V10,500.0,GDD,Ninth to tenth leaf (adjusted for 34-35 day maturity)
V10_to_V11+,500.0,GDD,Tenth leaf to mature vegetative (adjusted for 34-35 day maturity)
V11+_to_HI,1000.0,GDD,Mature vegetative to head initiation (adjusted for 34-35 day maturity)
HI_to_HD,800.0,GDD,Head initiation to head development (adjusted for 34-35 day maturity)
HD_to_HM,600.0,GDD,Head development to harvest maturity (adjusted for 34-35 day maturity)
HM_to_BI,300.0,GDD,Harvest maturity to bolting initiation
BI_to_FL,120.0,GDD,Bolting initiation to flowering
FL_to_AN,50.0,GDD,Flowering to anthesis
AN_to_SD,200.0,GDD,Anthesis to seed development
SD_to_PM,150.0,GDD,Seed development to physiological maturity

thermal_transition_GE_to_VE,112.5,°Cd,Germination to emergence thermal requirement (adjusted for 34-35 day maturity)
thermal_transition_VE_to_V1,150.0,°Cd,Emergence to first leaf (adjusted for 34-35 day maturity)
thermal_transition_V1_to_V2,93.8,°Cd,First to second leaf (adjusted for 34-35 day maturity)
thermal_transition_V2_to_V3,93.8,°Cd,Second to third leaf (adjusted for 34-35 day maturity)
thermal_transition_V3_to_V4,93.8,°Cd,Third to fourth leaf (adjusted for 34-35 day maturity)
thermal_transition_V4_to_V5,93.8,°Cd,Fourth to fifth leaf (adjusted for 34-35 day maturity)
thermal_transition_V5_to_V6,93.8,°Cd,Fifth to sixth leaf (adjusted for 34-35 day maturity)
thermal_transition_V6_to_V7,93.8,°Cd,Sixth to seventh leaf (adjusted for 34-35 day maturity)
thermal_transition_V7_to_V8,93.8,°Cd,Seventh to eighth leaf (adjusted for 34-35 day maturity)
thermal_transition_V8_to_V9,93.8,°Cd,Eighth to ninth leaf (adjusted for 34-35 day maturity)
thermal_transition_V9_to_V10,93.8,°Cd,Ninth to tenth leaf (adjusted for 34-35 day maturity)
thermal_transition_V10_to_V11+,93.8,°Cd,Tenth to mature vegetative (adjusted for 34-35 day maturity)
thermal_transition_V11+_to_HI,187.5,°Cd,Mature vegetative to head initiation (adjusted for 34-35 day maturity)
thermal_transition_HI_to_HD,150.0,°Cd,Head initiation to development (adjusted for 34-35 day maturity)
thermal_transition_HD_to_HM,112.5,°Cd,Head development to harvest maturity (adjusted for 34-35 day maturity)
thermal_transition_HM_to_BI,100.0,°Cd,Harvest maturity to bolting initiation
thermal_transition_BI_to_FL,150.0,°Cd,Bolting initiation to flowering
thermal_transition_FL_to_AN,100.0,°Cd,Flowering to anthesis
thermal_transition_AN_to_SD,200.0,°Cd,Anthesis to seed development
thermal_transition_SD_to_PM,300.0,°Cd,Seed development to physiological maturity
phenology_parameters,default_photoperiod,12.0,hours
development_index_thermal_time_denominator,1000.0,°Cd,Thermal time for full development index normalization (lettuce)
stage_progress_thermal_time_denominator,500.0,°Cd,Thermal time for stage progress normalization (lettuce)
